client_id,created_at,departureDate,departureTime,destination,destination_coordinates_lat,destination_coordinates_lng,pickup,pickup_coordinates_lat,pickup_coordinates_lng,returnDate,state,timestamp,trip_id,departure_datetime,departure_hour,departure_minute,departure_time_minutes,departure_day,departure_month,departure_dayofweek,direction
1VSbGmFH4i33RPGgkM8DWVAty8rV,2025-12-06T01:49:59.274653+07:00,06/12/2025,15:15,Van Don Ferry Terminal,20.86084406367047,107.18560944641428,Hanoi - Giap Bat Station,20.91626124057478,105.6639857268744,,Completed,1764960599274,,2025-12-06 15:15:00,15,15,915,6,12,5,Hanoi_to_QuangNinh
fBXQQaXaKuzwDDHGBm5eWQChAzv1,2025-10-19T13:33:46.182996+07:00,19/10/2025,04:45,Ha Long - Bai Chay Station,20.91871481147752,106.55906271996474,Hanoi - Long Bien Station,21.10437425856264,105.54080571962982,,Completed,1760855626182,,2025-10-19 04:45:00,4,45,285,19,10,6,Hanoi_to_QuangNinh
z96TQRrZEcXmZCp6msckB0GWSPGa,2025-11-30T13:50:13.408255+07:00,30/11/2025,04:00,Ha Long - Tuan Chau Port,21.06158215805202,106.8357049891288,Hanoi - Gia Lam Station,20.77348068689698,105.61330856023082,,Completed,1764485413408,,2025-11-30 04:00:00,4,0,240,30,11,6,Hanoi_to_QuangNinh
4EUWLSSEAc6880ScADGRBVHGumn5,2025-10-29T02:50:25.822822+07:00,29/10/2025,08:15,Ha Long - Bai Chay Station,20.9308573046494,106.62908813674616,Hanoi - Gia Lam Station,21.01757805814883,105.923167032815,,Completed,1761681025822,,2025-10-29 08:15:00,8,15,495,29,10,2,Hanoi_to_QuangNinh
QRi2TPA1X52ow1AvdH9qJK2eZWQ6,2026-01-04T12:44:35.961476+07:00,04/01/2026,11:45,Ha Long - Bai Chay Station,21.04077470152819,107.30824976652757,Hanoi - Luong Yen Station,20.77273402381322,105.78528654760262,,Completed,1767505475961,,2026-01-04 11:45:00,11,45,705,4,1,6,Hanoi_to_QuangNinh
ppG9UhBtbg3XWSk8WDdbQ3XGbhc1,2025-12-09T13:38:06.288798+07:00,09/12/2025,13:15,Ha Long - Bai Chay Station,20.66026303753948,106.86644785301368,Hanoi - Giap Bat Station,20.74686599388372,105.58577363925647,,Completed,1765262286288,,2025-12-09 13:15:00,13,15,795,9,12,1,Hanoi_to_QuangNinh
0bYyoVdBWYF3riQDB5rCeEV3aW6Z,2025-12-14T04:13:24.013324+07:00,14/12/2025,11:15,Cam Pha Bus Station,20.88051649171964,106.97909531564208,Hanoi - Long Bien Station,20.98981809661156,105.8637681737476,,Completed,1765660404013,,2025-12-14 11:15:00,11,15,675,14,12,6,Hanoi_to_QuangNinh
CYCM6vqh3r3xf9ZeVikgkFCvEAiG,2025-11-27T18:18:56.300614+07:00,27/11/2025,05:00,Ha Long - Tuan Chau Port,20.90991057467783,106.85670580812564,Hanoi - My Dinh Bus Station,20.95736827429268,105.79878944144328,,Completed,1764242336300,,2025-11-27 05:00:00,5,0,300,27,11,3,Hanoi_to_QuangNinh
QGTN3ou53ZTxbzHiDxezYaekH9hK,2025-10-31T23:02:05.945404+07:00,31/10/2025,14:45,Ha Long - Tuan Chau Port,20.87997842091782,106.71117900330272,Hanoi - Long Bien Station,20.81243434057366,105.887002143945,,Completed,1761926525945,,2025-10-31 14:45:00,14,45,885,31,10,4,Hanoi_to_QuangNinh
5iEy78NNhD4Jhu6GicHZm6HJ3o67,2025-12-17T12:08:52.174938+07:00,17/12/2025,22:00,Ha Long - Tuan Chau Port,20.63051885647462,106.70820257018067,Hanoi - Luong Yen Station,21.13827502489895,105.78971201260036,,Completed,1765948132174,,2025-12-17 22:00:00,22,0,1320,17,12,2,Hanoi_to_QuangNinh
