client_id,created_at,departureDate,departureTime,destination,destination_coordinates_lat,destination_coordinates_lng,pickup,pickup_coordinates_lat,pickup_coordinates_lng,returnDate,state,timestamp,trip_id
jXNpXoiqNwMJ7aqzPGDqXGtEeoAw,2025-11-04T18:38:03.717831+07:00,04/11/2025,14:45,Van Don Ferry Terminal,20.65311759119431,107.01841594586975,Hanoi - My Dinh Bus Station,21.03953519841788,106.03602182843537,,Completed,1762256283717,
VH6pRA9NppXvWx9rHtXbsdqfpauG,2025-12-27T14:26:19.200261+07:00,27/12/2025,22:45,Hanoi - Long Bien Station,20.93191162356452,105.79141238456285,Cam Pha Bus Station,21.15957471878112,107.47485885012428,,Completed,1766820379200,
bHw9s6YHSHRdQsPTPfuAHCyjgYMb,2025-12-13T00:45:35.978092+07:00,13/12/2025,07:30,Hanoi - Luong Yen Station,21.22735815023026,105.71597706338991,Mong Cai Bus Station,21.06243733715790,106.51900293137446,,Completed,1765561535978,
ppG9UhBtbg3XWSk8WDdbQ3XGbhc1,2025-10-16T16:10:17.126534+07:00,16/10/2025,13:00,Ha Long - Tuan Chau Port,20.97705988371433,106.49343171324047,Hanoi - My Dinh Bus Station,20.90422998057275,105.67968556321209,,Completed,1760605817126,
fyfwdwDN9U7JNaWwncvaCMdumReX,2025-10-11T10:22:54.072155+07:00,11/10/2025,17:45,Hanoi - Long Bien Station,20.70499074734035,105.59990849352974,Cam Pha Bus Station,20.91888477912576,106.57094896499390,,Completed,1760152974072,
VXySnu4Jmtyr2897SvWJJLsXBrSQ,2026-01-03T02:30:34.418798+07:00,03/01/2026,21:45,Van Don Ferry Terminal,21.01230803355284,106.77331645880305,Hanoi - My Dinh Bus Station,20.77301439702290,105.68898467469775,,Completed,1767382234418,
Ky86bwZ1Qm4TX6NZYfrfm2g81uoV,2025-11-26T23:19:26.575916+07:00,26/11/2025,17:30,Hanoi - Giap Bat Station,21.18306231379455,105.78461939593768,Uong Bi Bus Station,21.05104012605425,106.45518680955691,,Completed,1764173966575,
TyfTGXUhgtNPrNfUztzQdtau3NA3,2026-01-01T18:45:11.762059+07:00,01/01/2026,12:00,Hanoi - Long Bien Station,21.12642608743800,105.63664542009482,Uong Bi Bus Station,20.96371164364838,107.04261954959252,,Completed,1767267911762,
MQx0QVqcf4fCT5x73UvFrCT470fX,2025-12-01T00:02:12.535978+07:00,01/12/2025,21:45,Hanoi - Long Bien Station,20.91402770108234,105.74700677540619,Uong Bi Bus Station,20.65526178050332,106.42369286792058,,Completed,1764522132535,
EUZqzUcC38ndZ4rkUXyz9CBfrTwj,2025-11-23T22:17:09.990113+07:00,23/11/2025,10:15,Hanoi - Yen Nghia Station,20.99987366884332,105.97830880396121,Van Don Ferry Terminal,20.83454111404200,107.02061261743252,,Completed,1763911029990,
